city,orders_percentage_top_10_customers
Ναύπακτος,28.41
Λευκάδα,26.62
Νάουσα,15.57
Έδεσσα,12.54
Μεσολόγγι,12.13
Λιβαδειά,11.45
Φλώρινα,10.66
Άργος,10.25
Διδυμότειχο,9.68
Ζάκυνθος,8.35
Γρεβενά,7.17
Θήβα,7.05
Γιαννιτσά,6.85
Αίγιο,5.88
Ναύπλιο,5.79
Άρτα,5.31
Βέροια,3.47
Ορεστιάδα,3.08
Δράμα,2.52
Αλεξανδρούπολη,1.94
Αγρίνιο,1.84
Λαμία,1.73
Ξάνθη,1.28
Ρόδος,1.23
Βόλος,0.89
Ιωάννινα,0.7
Λάρισα,0.63
