"user_id","FScore","FBRScore","MScore","FWBRScore","MFWBRScores"
2160921462,1,1,2,2,"2 2"
2184080661,2,1,3,3,"3 3"
2217331578,4,4,4,5,"5 4"
2227811439,3,1,3,5,"5 3"
2229105249,1,1,1,2,"2 1"
2234668632,3,2,3,3,"3 3"
2272965408,1,2,1,1,"1 1"
2281892697,1,2,2,1,"1 2"
2287973604,2,1,3,3,"3 3"
2294442654,3,1,3,4,"4 3"
2309968374,4,1,3,5,"5 3"
2330410572,4,4,4,5,"5 4"
2348135769,2,3,1,1,"1 1"
2376728970,2,1,3,3,"3 3"
2378410923,1,1,2,2,"2 2"
2407909791,2,1,1,3,"3 1"
2431845276,3,3,2,2,"2 2"
2434562277,4,4,4,3,"3 4"
2455780761,1,1,1,2,"2 1"
2508826971,1,1,1,2,"2 1"
2516201688,1,1,2,2,"2 2"
2546347461,2,1,4,3,"3 4"
2551781463,4,2,4,5,"5 4"
2560967514,3,1,3,5,"5 3"
2565495849,4,5,4,5,"5 4"
2567307183,3,1,3,4,"4 3"
2568212850,1,1,1,2,"2 1"
2606121483,4,4,4,4,"4 4"
2612331771,1,1,2,2,"2 2"
2616471963,2,1,3,3,"3 3"
2636526018,1,2,1,1,"1 1"
2644935783,4,2,4,5,"5 4"
2647135260,4,5,4,5,"5 4"
2651404833,1,1,1,2,"2 1"
2656321311,3,2,3,4,"4 3"
2657226978,1,1,2,2,"2 2"
2701734042,1,1,3,2,"2 3"
2706391758,2,1,2,3,"3 2"
2719588620,4,1,4,5,"5 4"
2799675459,1,1,1,2,"2 1"
2822058372,1,1,1,2,"2 1"
2868635532,4,5,4,5,"5 4"
2877692202,4,1,4,5,"5 4"
2900592639,1,1,1,2,"2 1"
2914177644,4,5,4,5,"5 4"
2926598220,2,1,3,3,"3 3"
2942123940,4,5,4,5,"5 4"
2947040418,4,5,3,3,"3 3"
2980808859,1,1,2,2,"2 2"
2981973288,4,1,4,5,"5 4"
3003838677,1,2,1,1,"1 1"
3022340160,1,1,3,2,"2 3"
3078750276,1,1,1,2,"2 1"
3088453851,4,5,4,5,"5 4"
3090523947,1,1,3,2,"2 3"
3102944523,1,1,1,2,"2 1"
3124033626,1,1,2,2,"2 2"
3132702153,4,5,4,5,"5 4"
3148745397,4,1,4,5,"5 4"
3162589164,4,3,4,5,"5 4"
3165176784,2,1,2,3,"3 2"
3168023166,3,2,2,4,"4 2"
3185618982,3,1,3,4,"4 3"
3187042173,1,1,1,2,"2 1"
3226503378,4,4,4,3,"3 4"
3237242001,3,2,3,3,"3 3"
3241511574,4,1,4,5,"5 4"
3262471296,2,1,3,3,"3 3"
3295851594,1,1,1,2,"2 1"
3321727794,1,1,2,2,"2 2"
3326903034,1,2,1,1,"1 1"
3339841134,4,1,4,5,"5 4"
3342946278,3,1,4,5,"5 4"
3350191614,4,5,3,1,"1 3"
3373997718,3,3,3,3,"3 3"
3376455957,2,2,2,2,"2 2"
